Investigator,,Time (s),Electrode,Amplitude (mV)
,,00324.861440,A2_33,0.016
,,00324.876800,A2_33,0.013
,,00324.889040,A2_33,0.016
,,00324.898560,A3_21,0.012
,,00324.910640,A2_66,0.013
,,00324.943440,A2_33,0.017
,,00325.027280,A2_33,0.024
,,00325.081680,A2_24,0.017
,,00325.086320,A2_33,0.013
,,00325.121920,A2_46,0.016
,,00325.125760,A2_33,0.014
,,00325.137760,A2_66,0.016
,,00325.139280,A2_33,0.015
,,00325.447440,A2_33,0.013
,,00325.547600,A2_33,0.016
,,00325.893760,A2_24,0.022
,,00325.898800,A3_72,0.014
,,00326.670240,A3_21,0.017
,,00326.743760,A3_21,0.015
,,00326.903120,A2_21,0.016
,,00326.928320,A3_21,0.012
,,00327.333040,B2_32,0.016
,,00327.334160,B2_23,0.022
,,00327.346240,B2_23,0.02
,,00327.356560,B2_23,0.025
,,00327.367520,B2_32,0.016
,,00327.422480,B2_23,0.023
,,00327.435520,B2_32,0.012
,,00327.458160,B2_32,0.015
,,00327.459120,B2_23,0.022
,,00327.476560,B2_23,0.018
,,00327.624080,B2_23,0.019
,,00327.730000,B2_23,0.02
,,00327.795760,B2_32,0.013
,,00327.990800,B2_32,0.014
,,00327.991840,B2_23,0.027
,,00328.055600,B2_23,0.024
,,00328.082640,A2_46,0.017
,,00328.132400,B2_32,0.013
,,00328.173280,B2_23,0.03
,,00328.216000,B2_23,0.022
,,00328.230240,B2_43,0.011
,,00328.235520,B2_23,0.026
,,00328.494400,B2_32,0.013
,,00328.495520,B2_23,0.023
,,00328.508160,A2_21,0.021
,,00328.575680,B2_23,0.022
,,00328.594880,A2_22,0.018
,,00328.627440,A2_24,0.022
,,00328.637600,B2_23,0.023
,,00328.646480,A2_24,0.016
,,00328.670480,A2_66,0.023
,,00328.672480,B2_32,0.015
,,00328.700000,A2_46,0.02
,,00328.711840,A2_33,0.014
,,00328.719680,A2_24,0.02
,,00328.721520,B2_23,0.02
,,00328.741760,A2_24,0.02
,,00328.749360,A2_33,0.015
,,00328.758560,A2_33,0.013
,,00328.772800,A2_66,0.026
,,00328.779040,A2_21,0.023
,,00328.800880,A2_21,0.024
,,00328.814720,A2_33,0.015
,,00328.822560,A2_21,0.024
,,00328.824800,B2_32,0.012
,,00328.825760,B2_23,0.021
,,00328.838880,A2_66,0.024
,,00328.841680,A2_33,0.019
,,00328.847360,A2_21,0.016
,,00328.847360,A2_24,0.021
,,00328.859440,A2_33,0.015
,,00328.864560,A2_53,0.012
,,00328.865520,A2_33,0.015
,,00328.881200,A2_28,0.01
,,00328.897920,A2_31,0.011
,,00328.911680,A2_22,0.013
,,00328.914080,A2_66,0.019
,,00328.953120,B2_32,0.016
,,00328.985440,A2_66,0.014
,,00328.987920,A2_66,0.013
,,00329.004240,A2_66,0.014
,,00329.026080,A2_22,0.015
,,00329.026720,A2_66,0.014
,,00329.027200,A2_33,0.015
,,00329.031280,A2_43,0.013
,,00329.044480,A3_31,0.017
,,00329.062880,A2_24,0.017
,,00329.067520,A2_24,0.019
,,00329.079440,A2_66,0.017
,,00329.088880,A2_33,0.02
,,00329.103600,A2_21,0.016
,,00329.125600,A2_33,0.014
,,00329.167440,A2_33,0.017
,,00329.199120,B2_32,0.014
,,00329.200240,B2_23,0.025
,,00329.207920,A2_33,0.013
,,00329.221360,A2_33,0.016
,,00329.225600,A2_66,0.011
,,00329.264080,A2_33,0.014
,,00329.277120,A2_24,0.024
,,00329.291840,B2_23,0.023
,,00329.310160,A2_33,0.02
,,00329.353600,A2_24,0.021
,,00329.366880,A2_24,0.016
,,00329.450480,A2_66,0.02
,,00329.492880,A2_33,0.013
,,00329.502240,A2_33,0.015
,,00329.552880,A2_33,0.016
,,00329.598880,A2_46,0.019
,,00329.719360,A3_31,0.022
,,00329.769520,B2_32,0.013
,,00329.770720,B2_23,0.025
,,00329.818240,B2_23,0.025
,,00329.860720,A2_33,0.012
,,00329.993920,A3_31,0.021
,,00330.153040,A2_24,0.018
,,00330.221680,B2_43,0.011
,,00330.225920,B2_32,0.017
,,00330.227040,B2_23,0.026
,,00331.243920,A3_41,0.011
,,00331.256640,A3_31,0.015
,,00331.367120,A3_21,0.01
,,00332.048160,A2_21,0.023
,,00332.801040,B2_32,0.017
,,00332.802080,B2_23,0.03
,,00332.812320,B2_23,0.024
,,00332.931760,B2_23,0.023
,,00332.956960,B2_23,0.021
,,00332.984880,B2_32,0.015
,,00333.002160,B2_43,0.011
,,00333.005280,B2_32,0.017
,,00333.150000,B2_32,0.012
,,00333.150640,B2_23,0.027
,,00333.202240,B2_23,0.022
,,00333.269440,B2_23,0.026
,,00333.319680,B2_32,0.012
,,00333.394480,B2_23,0.023
,,00333.435840,A2_46,0.017
,,00333.685760,A2_21,0.025
,,00333.702400,B2_32,0.016
,,00333.810800,B2_32,0.015
,,00333.811840,B2_23,0.024
,,00334.191760,A3_31,0.02
,,00334.910960,A2_22,0.02
,,00334.912080,A2_11,0.027
,,00334.934640,A2_24,0.018
,,00334.965600,A2_66,0.023
,,00334.985600,A2_33,0.015
,,00335.002960,A2_33,0.015
,,00335.023040,A2_24,0.02
,,00335.027520,A2_33,0.02
,,00335.030560,A2_28,0.011
,,00335.030720,A2_14,0.012
,,00335.035440,A2_66,0.021
,,00335.042000,A2_21,0.025
,,00335.051840,A2_33,0.015
,,00335.057760,A2_24,0.019
,,00335.061680,A2_33,0.013
,,00335.065120,A2_21,0.022
,,00335.074400,A2_66,0.02
,,00335.081600,A2_33,0.017
,,00335.082560,A2_21,0.017
,,00335.093840,A2_21,0.015
,,00335.095760,A2_33,0.013
,,00335.115440,A2_33,0.016
,,00335.118160,A2_33,0.015
,,00335.121600,A2_66,0.021
,,00335.135600,A2_22,0.012
,,00335.135760,A2_33,0.017
,,00335.153680,A2_33,0.015
,,00335.162800,A2_24,0.018
,,00335.175040,A2_21,0.023
,,00335.187360,A2_33,0.019
,,00335.190400,A2_66,0.013
,,00335.190880,A2_33,0.015
,,00335.211520,A2_33,0.018
,,00335.219840,A2_21,0.018
,,00335.230080,A2_66,0.017
,,00335.234720,A2_21,0.022
,,00335.259520,A2_24,0.014
,,00335.271440,A2_24,0.018
,,00335.285520,A2_28,0.01
,,00335.304560,A2_33,0.012
,,00335.310160,A2_33,0.013
,,00335.334720,A2_33,0.015
,,00335.373680,A2_33,0.015
,,00335.451840,A2_33,0.014
,,00335.503200,A2_66,0.02
,,00335.554400,A2_33,0.012
,,00335.592240,A2_46,0.017
,,00335.666560,A2_24,0.022
,,00335.671920,A2_33,0.011
,,00335.738240,A2_33,0.013
,,00335.748960,A2_66,0.022
,,00335.791760,A2_33,0.013
,,00335.812320,A2_33,0.014
,,00335.819040,A2_24,0.017
,,00335.835920,A3_31,0.018
,,00335.865440,A3_21,0.019
,,00335.886480,A2_33,0.012
,,00335.946880,A2_33,0.014
,,00336.011200,A2_46,0.015
,,00336.061920,A2_33,0.015
,,00336.265200,A3_21,0.011
,,00336.507360,A2_24,0.021
,,00336.888960,A2_21,0.023
,,00337.416560,B2_23,0.026
,,00337.441040,B2_32,0.014
,,00337.442000,B2_23,0.025
,,00337.495200,B2_32,0.012
,,00337.532160,B2_23,0.025
,,00337.552640,B2_32,0.012
,,00337.640800,B2_32,0.012
,,00337.641680,B2_23,0.023
,,00337.720080,B2_23,0.024
,,00337.837760,B2_32,0.013
,,00337.898000,B2_32,0.013
,,00337.947440,B2_23,0.022
,,00338.119840,B2_32,0.014
,,00338.120880,B2_23,0.023
,,00338.224080,B2_23,0.023
,,00338.258400,B2_23,0.016
,,00338.291840,B2_43,0.011
,,00338.295200,B2_32,0.015
,,00338.295840,B2_23,0.028
,,00338.354160,A2_21,0.02
,,00338.496640,B2_23,0.021
,,00338.617200,A2_46,0.019
,,00338.638320,B2_32,0.013
,,00338.639440,B2_23,0.022
,,00338.703440,A2_22,0.021
,,00338.729440,A2_24,0.027
,,00338.740320,A2_24,0.018
,,00338.771760,B2_32,0.012
,,00338.772800,B2_23,0.023
,,00338.795520,A2_66,0.017
,,00338.815840,B2_32,0.014
,,00338.886000,B2_32,0.015
,,00338.887120,B2_23,0.027
,,00338.887760,A2_21,0.027
,,00338.891360,A2_33,0.016
,,00338.893600,A2_66,0.022
,,00338.907120,A2_33,0.018
,,00338.909680,A2_21,0.024
,,00338.909840,A2_33,0.015
,,00338.923600,A2_24,0.019
,,00338.935680,A2_33,0.014
,,00338.964240,A2_66,0.02
,,00338.965760,B2_32,0.013
,,00338.966800,B2_23,0.024
,,00338.977280,A2_33,0.013
,,00339.008320,A2_24,0.021
,,00339.009040,A3_31,0.021
,,00339.019200,A2_33,0.016
,,00339.022480,B2_32,0.014
,,00339.064480,A2_33,0.011
,,00339.080640,A3_31,0.017
,,00339.090160,B2_43,0.011
,,00339.109440,A2_66,0.021
,,00339.148720,A2_33,0.017
,,00339.153520,B2_23,0.025
,,00339.156480,A2_66,0.022
,,00339.163600,A2_24,0.028
,,00339.175120,A2_24,0.025
,,00339.186880,A2_24,0.018
,,00339.206240,A2_33,0.013
,,00339.208400,B2_23,0.021
,,00339.228240,A2_66,0.022
,,00339.284880,A2_24,0.018
,,00339.340480,A2_33,0.016
,,00339.373040,A2_66,0.015
,,00339.412720,A2_33,0.017
,,00339.453600,B2_23,0.026
,,00339.476720,A2_24,0.019
,,00339.556240,A2_33,0.014
,,00339.584080,A2_24,0.02
,,00339.641840,A2_66,0.015
,,00339.727440,A2_33,0.014
,,00339.807280,A2_46,0.016
,,00339.808320,A2_33,0.014
,,00339.889440,A3_31,0.02
,,00339.952800,A2_24,0.019
,,00339.963360,A2_33,0.011
,,00340.942240,A2_21,0.021
,,00342.164800,A3_31,0.023
,,00342.244880,A3_31,0.019
,,00342.306720,A2_46,0.017
,,00342.470480,A3_21,0.013
,,00342.518240,B2_32,0.013
,,00342.519040,B2_23,0.03
,,00342.522080,B2_43,0.011
,,00342.539600,B2_23,0.019
,,00342.563840,A2_21,0.022
,,00342.564800,B2_43,0.012
,,00342.567360,B2_23,0.018
,,00342.588080,B2_23,0.02
,,00342.612720,A3_21,0.015
,,00342.627680,B2_23,0.024
,,00342.639520,A3_26,0.015
,,00342.688320,A3_41,0.016
,,00342.791440,B2_32,0.013
,,00342.925840,B2_23,0.023
,,00342.969120,B2_32,0.014
,,00342.970160,B2_23,0.021
,,00343.263200,A3_31,0.019
,,00343.616720,A3_31,0.022
,,00343.618720,A2_22,0.022
,,00343.675520,A2_24,0.016
,,00343.722880,A2_22,0.013
,,00343.723040,A2_11,0.021
,,00343.761440,A2_66,0.021
,,00343.826400,A2_46,0.015
,,00343.871440,A2_33,0.016
,,00343.876000,A2_33,0.019
,,00343.889840,A2_66,0.02
,,00343.898400,A2_24,0.018
,,00343.908400,A2_33,0.016
,,00343.925440,A2_21,0.015
,,00343.942080,A2_21,0.022
,,00343.953200,A2_21,0.014
,,00343.959360,A2_66,0.026
,,00343.960480,A2_32,0.019
,,00343.963200,A2_33,0.016
,,00343.985520,A2_33,0.018
,,00344.004560,A2_33,0.018
,,00344.010160,A2_33,0.017
,,00344.026400,A2_22,0.012
,,00344.035680,A2_33,0.013
,,00344.035920,A2_66,0.013
,,00344.042960,A2_33,0.016
,,00344.056080,A2_22,0.017
,,00344.075760,A2_24,0.024
,,00344.081920,A2_24,0.025
,,00344.088560,A2_33,0.017
,,00344.096000,A2_66,0.02
,,00344.098880,A2_21,0.021
,,00344.121280,A2_33,0.017
,,00344.121920,A2_21,0.024
,,00344.137600,A2_33,0.013
,,00344.154240,A2_66,0.023
,,00344.173440,A2_22,0.014
,,00344.200240,A2_33,0.014
,,00344.203360,A2_33,0.012
,,00344.207440,A2_33,0.016
,,00344.207600,A2_66,0.02
,,00344.232640,A2_24,0.017
,,00344.256320,A2_46,0.014
,,00344.259280,A2_33,0.013
,,00344.369920,A2_24,0.018
,,00344.371280,A2_66,0.021
,,00344.483760,A2_33,0.012
,,00344.613760,A2_33,0.013
,,00344.646880,A2_24,0.016
,,00344.682880,A2_66,0.021
,,00344.700480,A2_33,0.017
,,00344.765040,A2_33,0.013
,,00345.147920,A2_24,0.017
,,00345.433040,A3_31,0.021
,,00345.957280,A2_21,0.019
,,00347.040640,A3_31,0.02
,,00348.243840,A2_22,0.017
,,00348.259600,A2_24,0.023
,,00348.270640,A2_24,0.018
,,00348.308000,A2_22,0.013
,,00348.308400,A2_11,0.026
,,00348.308480,A2_66,0.025
,,00348.321360,A2_46,0.018
,,00348.346880,A2_33,0.016
,,00348.353680,A2_21,0.025
,,00348.375280,A2_24,0.021
,,00348.379760,A2_33,0.026
,,00348.380480,A2_21,0.025
,,00348.383280,A2_21,0.012
,,00348.385840,A2_66,0.025
,,00348.396880,A2_33,0.016
,,00348.406640,A2_33,0.02
,,00348.416320,A2_21,0.024
,,00348.422800,A2_24,0.018
,,00348.426000,A2_21,0.023
,,00348.427600,A2_33,0.013
,,00348.428560,A2_21,0.012
,,00348.437760,A2_66,0.018
,,00348.439840,A2_33,0.015
,,00348.447360,A2_21,0.014
,,00348.472400,A2_42,0.014
,,00348.478000,A2_24,0.022
,,00348.489760,A2_33,0.016
,,00348.505120,A2_66,0.022
,,00348.523680,A2_28,0.01
,,00348.532640,A2_33,0.015
,,00348.537760,A2_24,0.02
,,00348.541680,A2_33,0.016
,,00348.570800,A2_33,0.014
,,00348.579760,A2_66,0.022
,,00348.581200,A2_21,0.02
,,00348.581200,A2_33,0.015
,,00348.594880,A2_21,0.018
,,00348.603680,A2_46,0.015
,,00348.607680,A2_66,0.015
,,00348.631520,A2_33,0.015
,,00348.637200,A2_66,0.018
,,00348.638320,A2_24,0.017
,,00348.647600,A2_33,0.012
,,00348.702400,A2_33,0.016
,,00348.709760,A2_66,0.019
,,00348.740080,A2_33,0.017
,,00348.782960,A2_22,0.011
,,00348.841360,A2_33,0.013
,,00348.894320,A2_33,0.016
,,00348.965600,A2_66,0.014
,,00348.965680,A2_11,0.02
,,00349.006880,A2_33,0.017
,,00349.016080,A2_56,0.01
,,00349.017040,A2_46,0.017
,,00349.081680,A2_24,0.019
,,00349.120560,A2_33,0.015
,,00349.175040,A2_33,0.016
,,00349.246560,A2_33,0.014
,,00349.293440,A2_33,0.013
,,00349.351760,A2_24,0.02
,,00350.416240,B2_23,0.027
,,00350.431200,B2_23,0.02
,,00350.456960,B2_32,0.013
,,00350.468480,B2_23,0.021
,,00350.480400,B2_23,0.033
,,00350.498400,B2_23,0.024
,,00350.519040,B2_23,0.024
,,00350.532880,A2_21,0.023
,,00350.538880,B2_32,0.016
,,00350.539840,B2_23,0.023
,,00350.580320,B2_32,0.011
,,00350.581280,B2_23,0.024
,,00350.615280,B2_23,0.021
,,00350.652080,B2_43,0.012
,,00350.655680,B2_23,0.021
,,00350.702000,B2_23,0.021
,,00350.853440,A3_21,0.017
,,00350.912160,A3_83,0.026
,,00350.912240,A3_21,0.019
,,00350.944000,A3_21,0.016
,,00352.345840,A3_31,0.018
,,00352.349120,A2_46,0.019
,,00352.688800,A3_21,0.017
,,00353.051120,A2_21,0.024
,,00353.415200,A2_22,0.015
,,00353.446000,A2_24,0.025
,,00353.496000,A2_66,0.024
,,00353.501200,A3_31,0.016
,,00353.525200,A2_33,0.013
,,00353.550320,A2_46,0.015
,,00353.577920,A2_66,0.02
,,00353.580080,A2_33,0.014
,,00353.580480,A2_24,0.018
,,00353.584320,A2_21,0.027
,,00353.595680,A2_24,0.023
,,00353.600560,A2_33,0.024
,,00353.609440,A2_21,0.028
,,00353.620640,A2_33,0.015
,,00353.630160,A2_66,0.023
,,00353.630880,A2_33,0.016
,,00353.631120,A2_21,0.015
,,00353.662640,A2_33,0.02
,,00353.669040,A2_56,0.02
,,00353.671360,A2_33,0.016
,,00353.671440,A2_22,0.013
,,00353.687200,A2_33,0.014
,,00353.708400,A2_33,0.016
,,00353.723600,A2_24,0.023
,,00353.737040,A2_24,0.021
,,00353.739440,A2_33,0.014
,,00353.753200,A2_66,0.021
,,00353.753840,A2_33,0.017
,,00353.755600,A2_12,0.016
,,00353.770080,A2_56,0.016
,,00353.803120,A2_33,0.018
,,00353.820720,A2_22,0.018
,,00353.835920,A2_33,0.015
,,00353.852160,A2_66,0.013
,,00353.853760,A2_22,0.014
,,00353.859120,A2_24,0.018
,,00353.871360,A2_24,0.021
,,00353.928480,A2_33,0.012
,,00353.932960,A2_33,0.012
,,00353.971440,A2_33,0.011
,,00353.993920,A2_28,0.012
,,00354.049040,A2_66,0.011
,,00354.141120,A2_24,0.021
,,00354.154880,A2_33,0.017
,,00354.231120,A2_32,0.012
,,00354.248000,A3_31,0.019
,,00354.278960,A2_33,0.014
,,00354.282400,A2_66,0.012
,,00354.498560,A2_24,0.017
,,00354.824640,A3_31,0.014
,,00355.396640,A3_31,0.021
,,00355.637680,A3_31,0.02
,,00355.779040,A2_21,0.021
,,00356.326640,A3_11,0.02
,,00356.345520,A3_11,0.018
,,00356.859440,A3_21,0.018
,,00356.866240,A3_31,0.018
,,00358.575760,A2_21,0.022
,,00358.578560,A2_21,0.013
,,00358.662080,A2_22,0.013
,,00358.662320,A2_11,0.019
,,00358.681360,A2_24,0.027
,,00358.691360,A2_24,0.018
,,00358.708480,A2_24,0.022
,,00358.728560,A2_22,0.017
,,00358.731840,A2_66,0.024
,,00358.746560,A2_46,0.02
,,00358.750560,A2_24,0.018
,,00358.774240,A2_22,0.011
,,00358.783600,A2_33,0.013
,,00358.786240,A2_33,0.013
,,00358.808080,A2_66,0.022
,,00358.816800,A2_21,0.022
,,00358.829200,A2_42,0.014
,,00358.841840,A3_21,0.013
,,00358.843600,A2_21,0.032
,,00358.848320,A2_46,0.015
,,00358.854800,A2_21,0.019
,,00358.856240,A2_33,0.014
,,00358.858960,A2_66,0.026
,,00358.876640,A2_33,0.018
,,00358.890080,A2_24,0.015
,,00358.906080,A2_33,0.015
,,00358.913200,A2_33,0.016
,,00358.914800,A2_11,0.019
,,00358.922960,A2_66,0.02
,,00358.932080,A2_33,0.013
,,00358.984960,A2_21,0.014
,,00358.986320,A2_66,0.022
,,00359.033920,A2_33,0.016
,,00359.041120,A2_66,0.01
,,00359.050960,A2_24,0.02
,,00359.055440,A3_31,0.014
,,00359.081360,A2_33,0.016
,,00359.082960,A2_24,0.018
,,00359.117600,A2_33,0.016
,,00359.119280,A2_66,0.019
,,00359.156240,A2_33,0.02
,,00359.167920,A2_33,0.014
,,00359.215200,A2_33,0.014
,,00359.239520,A2_33,0.016
,,00359.296560,A2_46,0.017
,,00359.304400,A2_33,0.015
,,00359.335920,A2_66,0.011
,,00359.351920,A2_33,0.014
,,00359.436880,A2_24,0.014
,,00359.468400,A2_33,0.012
,,00359.610880,A2_33,0.017
,,00359.682720,A2_33,0.014
,,00359.791920,A2_46,0.015
,,00359.866640,A2_33,0.015
,,00361.270480,A2_21,0.024
,,00361.359120,A2_21,0.021
,,00361.681840,A3_31,0.021
,,00361.964320,A3_31,0.019
,,00362.322720,A3_31,0.016
,,00362.942000,A3_21,0.013
,,00362.975360,A3_21,0.02
,,00362.988960,A2_46,0.017
,,00363.477280,A3_21,0.013
,,00363.728480,A2_21,0.022
,,00364.370960,B2_43,0.011
,,00364.374480,B2_23,0.031
,,00364.385920,B2_23,0.023
,,00364.395920,B2_32,0.017
,,00364.423440,B2_23,0.021
,,00364.440400,B2_23,0.025
,,00364.459360,B2_32,0.013
,,00364.460400,B2_23,0.02
,,00364.479440,B2_23,0.02
,,00364.496560,B2_32,0.016
,,00364.550880,B2_23,0.026
,,00364.575520,B2_23,0.025
,,00365.121680,A2_24,0.023
,,00365.123120,A2_23,0.014
,,00365.123520,A2_22,0.021
,,00365.124640,A2_11,0.018
,,00365.130400,A2_24,0.017
,,00365.156000,A2_66,0.021
,,00365.171920,A2_24,0.02
,,00365.183120,A2_46,0.019
,,00365.220240,A2_66,0.024
,,00365.221360,A2_21,0.028
,,00365.225760,A2_33,0.015
,,00365.233680,A2_43,0.017
,,00365.236160,A2_33,0.013
,,00365.239760,A2_24,0.021
,,00365.241200,A2_21,0.021
,,00365.246240,A2_33,0.014
,,00365.251760,A2_21,0.014
,,00365.256880,A2_44,0.012
,,00365.261600,A2_33,0.015
,,00365.263920,A2_22,0.016
,,00365.265680,A2_66,0.023
,,00365.266240,A2_33,0.015
,,00365.268800,A2_33,0.016
,,00365.287040,A2_33,0.012
,,00365.288960,A2_23,0.015
,,00365.298720,A2_33,0.017
,,00365.302800,A2_28,0.01
,,00365.314480,A2_33,0.017
,,00365.317760,A2_66,0.022
,,00365.320720,A2_42,0.011
,,00365.330320,A2_33,0.018
,,00365.330880,A2_22,0.012
,,00365.332960,A2_33,0.012
,,00365.334240,A2_43,0.013
,,00365.335680,A2_21,0.028
,,00365.337920,A2_24,0.022
,,00365.340080,A2_33,0.019
,,00365.344400,A2_22,0.014
,,00365.346320,A2_33,0.017
,,00365.358480,A2_33,0.015
,,00365.363520,A2_33,0.017
,,00365.368400,A2_24,0.022
,,00365.373520,A2_66,0.029
,,00365.380400,A2_22,0.015
,,00365.380640,A2_33,0.019
,,00365.384400,A2_33,0.015
,,00365.398720,A2_33,0.011
,,00365.401680,A2_21,0.017
,,00365.416720,A2_33,0.02
,,00365.421280,A2_33,0.023
,,00365.425520,A2_24,0.018
,,00365.428400,A2_66,0.012
,,00365.432240,A2_33,0.017
,,00365.439600,A2_24,0.017
,,00365.444400,A3_31,0.014
,,00365.452560,A2_33,0.019
,,00365.456640,A2_33,0.014
,,00365.471280,A2_66,0.017
,,00365.480400,A2_33,0.018
,,00365.504080,A2_33,0.014
,,00365.655920,A2_33,0.013
,,00365.665040,A2_33,0.015
,,00365.670000,A2_33,0.012
,,00365.693280,A2_66,0.017
,,00365.706400,A2_33,0.013
,,00365.783280,A2_33,0.016
,,00365.804000,A2_33,0.013
,,00365.864320,A2_33,0.014
,,00365.883120,A2_24,0.016
,,00365.895520,A2_33,0.011
,,00365.980880,A2_66,0.013
,,00366.045360,A2_33,0.013
,,00366.071840,A2_33,0.014
,,00366.086000,A2_28,0.009
,,00366.115440,A2_33,0.013
,,00366.198800,A2_33,0.014
,,00366.204800,A2_33,0.012
,,00366.319040,A2_24,0.02
,,00366.365200,A2_33,0.016
,,00366.974800,A2_21,0.025
,,00367.683760,A3_31,0.013
,,00368.237520,A3_21,0.01
,,00368.272880,A3_21,0.014
,,00368.303360,A3_21,0.016
,,00368.453440,A3_21,0.016
,,00368.567040,A2_21,0.023
,,00368.884400,A3_21,0.012
,,00369.434960,A2_46,0.017
,,00369.479280,A2_46,0.014
,,00369.734000,A3_21,0.011
,,00369.913760,A3_31,0.015
,,00370.188480,A3_83,0.022
,,00370.709600,A2_21,0.02
,,00370.799920,A2_21,0.019
,,00371.107680,A2_24,0.023
,,00371.117760,A2_22,0.02
,,00371.118640,A2_11,0.024
,,00371.146480,A2_66,0.022
,,00371.148880,A2_33,0.014
,,00371.163920,A2_46,0.017
,,00371.166640,A2_11,0.02
,,00371.188000,A2_11,0.024
,,00371.203360,A2_33,0.016
,,00371.203360,A2_66,0.02
,,00371.207920,A2_24,0.019
,,00371.212240,A2_21,0.023
,,00371.215360,A2_33,0.017
,,00371.223120,A2_24,0.018
,,00371.235520,A2_21,0.019
,,00371.239200,A2_66,0.015
,,00371.245680,A2_21,0.014
,,00371.254240,A2_33,0.017
,,00371.257840,A2_56,0.016
,,00371.275360,A2_28,0.01
,,00371.280000,A2_33,0.016
,,00371.284320,A2_21,0.016
,,00371.284400,A2_66,0.021
,,00371.293520,A2_33,0.019
,,00371.299920,A2_22,0.016
,,00371.311520,A2_33,0.014
,,00371.326080,A2_24,0.017
,,00371.330880,A2_66,0.02
,,00371.339760,A2_24,0.015
,,00371.345600,A2_33,0.014
,,00371.348400,A2_33,0.014
,,00371.361360,A2_33,0.019
,,00371.363840,A2_66,0.014
,,00371.365360,A2_21,0.022
,,00371.372480,A2_33,0.014
,,00371.381200,A2_14,0.013
,,00371.383840,A2_21,0.018
,,00371.410880,A3_31,0.019
,,00371.416880,A2_66,0.016
,,00371.442000,A2_33,0.013
,,00371.461280,A2_24,0.022
,,00371.476800,A2_33,0.017
,,00371.504000,A2_33,0.015
,,00371.508160,A2_33,0.018
,,00371.541920,A2_33,0.014
,,00371.545040,A2_24,0.022
,,00371.570880,A2_33,0.017
,,00371.603920,A2_33,0.015
,,00371.648480,A2_33,0.016
,,00371.666560,A2_66,0.012
,,00371.690720,A2_33,0.014
,,00371.752880,A2_33,0.016
,,00371.780320,A2_24,0.02
,,00371.794800,A2_24,0.018
,,00371.823680,A2_33,0.016
,,00371.858080,A2_24,0.022
,,00371.870640,B2_31,0.012
,,00371.874240,B2_32,0.012
,,00371.875280,B2_23,0.037
,,00371.877280,A2_33,0.014
,,00371.880080,B2_32,0.012
,,00371.881120,B2_23,0.029
,,00371.892240,B2_32,0.014
,,00371.893200,B2_23,0.023
,,00371.900640,B2_32,0.014
,,00371.901680,B2_23,0.023
,,00371.929680,B2_32,0.012
,,00371.980160,A2_66,0.017
,,00371.993600,B2_23,0.021
,,00372.005600,A2_33,0.013
,,00372.012240,B2_32,0.012
,,00372.013200,B2_23,0.021
,,00372.060320,B2_23,0.023
,,00372.089360,A2_33,0.012
,,00372.104880,A2_24,0.018
,,00372.121440,B2_23,0.023
,,00372.144400,B2_23,0.023
,,00372.161360,A2_22,0.014
,,00372.167440,B2_23,0.025
,,00372.225040,A2_33,0.013
,,00372.228240,B2_23,0.022
,,00372.333360,B2_32,0.013
,,00372.334320,B2_23,0.023
,,00372.409040,B2_23,0.023
,,00372.484320,B2_32,0.015
,,00372.485360,B2_23,0.019
,,00372.604640,A2_24,0.019
,,00372.626320,B2_32,0.015
,,00372.627280,B2_23,0.02
,,00372.655280,B2_23,0.021
,,00372.733680,B2_23,0.018
,,00372.756080,B2_23,0.022
,,00372.819200,B2_23,0.023
,,00372.855040,B2_32,0.011
,,00372.856000,B2_23,0.022
,,00372.939040,B2_23,0.023
,,00372.987920,B2_23,0.029
,,00373.047280,B2_32,0.015
,,00373.048240,B2_23,0.025
,,00373.162880,B2_23,0.023
,,00373.273120,B2_32,0.014
,,00373.274160,B2_23,0.022
,,00373.377120,B2_23,0.023
,,00373.442880,B2_23,0.023
,,00373.482480,A2_21,0.023
,,00373.513200,B2_32,0.012
,,00373.514240,B2_23,0.024
,,00373.649040,B2_23,0.024
,,00373.723200,B2_23,0.026
,,00373.759920,B2_32,0.016
,,00373.800960,B2_32,0.012
,,00373.936240,B2_32,0.012
,,00373.937360,B2_23,0.021
,,00374.143200,B2_32,0.014
,,00374.144320,B2_23,0.034
,,00374.245440,B2_32,0.015
,,00374.246560,B2_23,0.026
,,00374.383280,B2_23,0.027
,,00374.419920,B2_23,0.026
,,00374.487600,A2_46,0.018
,,00374.513920,B2_23,0.026
,,00374.566160,B2_32,0.013
,,00374.567200,B2_23,0.024
,,00374.698080,B2_23,0.024
,,00374.722000,B2_32,0.012
,,00374.722880,B2_23,0.023
,,00374.761600,B2_23,0.025
,,00374.832560,B2_32,0.013
,,00374.833520,B2_23,0.028
,,00374.844320,A3_31,0.013
,,00375.107280,B2_32,0.012
,,00375.108400,B2_23,0.024
,,00375.214480,B2_23,0.028
,,00375.297440,B2_23,0.023
,,00375.439760,B2_32,0.017
,,00375.440880,B2_23,0.025
,,00375.492720,A3_31,0.02
,,00375.543440,B2_32,0.016
,,00375.544560,B2_23,0.023
,,00375.545200,A2_21,0.024
,,00375.708880,B2_32,0.014
,,00375.710080,B2_23,0.025
,,00375.767040,B2_23,0.026
,,00375.831440,A3_31,0.02
,,00376.174240,A2_22,0.02
,,00376.175520,A2_11,0.023
,,00376.184080,A2_24,0.027
,,00376.194080,A2_24,0.021
,,00376.214720,A2_66,0.027
,,00376.217440,A2_46,0.022
